compound_id,hetnet_rank,hetnet_best_metapath,hetnet_best_target,hetnet_dwpc,hetnet_p_value_bonferroni,significant,rank,best_record_score,total_potency,max_evidence,hits_eef1a,best_protein,in_resko_ranking,in_hetnet_ranking,in_both
CHEMBL3545396,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL3590106,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL3600873,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL3608911,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3609826,23,CbGpCC,EEF1A1,0.0050067065572759,1.0,False,,,,,,,False,True,False
CHEMBL3688339,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL3699142,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL372764,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL377300,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL3813873,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL38380,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL384304,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL3891011,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3900925,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3901185,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3905315,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3907479,23,CbGpCC,EEF1A1,0.0103068341727984,1.0,False,,,,,,,False,True,False
CHEMBL3911352,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3916672,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3919459,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3919811,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
CHEMBL3922414,23,CbGpMF,EEF1A2,0.0064381754164776,1.0,False,,,,,,,False,True,False
